index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
0,Roasted Red Pepper Hummus,Marketside,"Hummus, Dips, & Salsa",2.67,http://dbpedia.org/resource/Hummus
17,Guacamole,Freshness Guaranteed,"Hummus, Dips, & Salsa",3.14,http://dbpedia.org/resource/Hummus
34,Mild Queso Blanco Dip,Marketside,"Hummus, Dips, & Salsa",4.68,http://dbpedia.org/resource/Hummus
51,Homestyle Guacamole,Marketside,"Hummus, Dips, & Salsa",5.24,http://dbpedia.org/resource/Hummus
68,All American Sandwich Spread Bottle,Beano's,"Hummus, Dips, & Salsa",2.43,http://dbpedia.org/resource/Hummus
85,Energy Drink,Red Bull,Energy Drinks,7.24,http://dbpedia.org/resource/Energy
102,Green,Monster Energy,Energy Drinks,2.28,http://dbpedia.org/resource/Energy
119,Energy Drink,Red Bull,Energy Drinks,10.48,http://dbpedia.org/resource/Energy
136,Alani Energy Drink-cherry Slush-12oz,Alani Nu,Energy Drinks,2.48,http://dbpedia.org/resource/Energy
153,Java Monster Loca Moca,Monster Energy,Energy Drinks,10.48,http://dbpedia.org/resource/Energy
170,,Bertolli,Oils & Shortening,6.23,http://dbpedia.org/resource/Oil
187,Peanut Oil,Great Value,Oils & Shortening,19.32,http://dbpedia.org/resource/Oil
204,Baked Potato Soup,Panera Bread,Fresh Soups & Salads,4.92,http://dbpedia.org/resource/DJ_Fresh
221,Refined Avocado Oil,Great Value,Oils & Shortening,10.3,http://dbpedia.org/resource/Oil
238,Freshness Guaranteed Original Potato Salad,Wal-Mart Deli,Fresh Soups & Salads,3.94,http://dbpedia.org/resource/DJ_Fresh
255,Lo-Carb,Monster Energy,Energy Drinks,19.98,http://dbpedia.org/resource/Energy
272,High Performance Energy Drink,NOS,Energy Drinks,1.98,http://dbpedia.org/resource/Energy
289,Refined Avocado Oil,Great Value,Oils & Shortening,10.3,http://dbpedia.org/resource/Oil
306,Freshness Guaranteed Mustard Potato Salad,Wal-Mart Deli,Fresh Soups & Salads,3.94,http://dbpedia.org/resource/DJ_Fresh
323,Sunflower Bacon Crunch Chopped Salad Kit,Marketside,Fresh Soups & Salads,3.98,http://dbpedia.org/resource/DJ_Fresh
340,BBQ Baked Beans with Brisket,Freshness Guaranteed,Fresh Soups & Salads,7.97,http://dbpedia.org/resource/DJ_Fresh
357,Baby Greens Salad,Marketside,Fresh Soups & Salads,2.73,http://dbpedia.org/resource/DJ_Fresh
374,BCAA Powder -  Pre Workout BCAA Energy Powder 30 Servings - EVL BCAA Amino Acids Endurance & Muscle Recovery Drink - Fruit Punch Flavor with Vitamin B12 & Vitamin C,Evlution Nutrition,Energy Drinks,17.86,http://dbpedia.org/resource/Energy
391,Shot Peach Mango 4PK,Bang,Energy Drinks,8.98,http://dbpedia.org/resource/Energy
408,Star Extra Virgin Olive Oil Value Pack,STAR,Oils & Shortening,14.74,http://dbpedia.org/resource/Oil
425,Reign Total Body Fuel,Reign Watches,Energy Drinks,2.28,http://dbpedia.org/resource/Energy
442,+ENERGY Peach Mango Energy Drink,V8,Energy Drinks,9.38,http://dbpedia.org/resource/Energy
459,+ENERGY Pomegranate Blueberry Energy Drink,V8,Energy Drinks,5.14,http://dbpedia.org/resource/Energy
476,Kickstart Orange Citrus Energizing Juice 16 oz Can,Mountain Dew,Energy Drinks,1.5,http://dbpedia.org/resource/Energy
493,Beef Choice Angus Ribeye Steak Thin,Fresh Beef,Game Time Faves,15.17,http://dbpedia.org/resource/Game_Time
510,Beef Choice Angus Flat Iron Steak,Fresh Beef,Game Time Faves,6.3,http://dbpedia.org/resource/Game_Time
527,Villari Smoked Turkey Wings Cut,Villari Brothers,Game Time Faves,5.62,http://dbpedia.org/resource/Game_Time
544,Fresh Wild Caught Tuna Steaks,FISH,Game Time Faves,8.3,http://dbpedia.org/resource/Game_Time
561,Doubleshot Energy White Chocolate Coffee Energy Drink,Starbucks,Energy Drinks,2.98,http://dbpedia.org/resource/Energy
578,xxx,vitaminwater,Energy Drinks,1.38,http://dbpedia.org/resource/Energy
595,Energy Vanilla Coffee Energy Drink,Starbucks Doubleshot,Energy Drinks,6.98,http://dbpedia.org/resource/Energy
612,Black Cherry Sparkling Water,Clear American,Sparkling Water,4.12,http://dbpedia.org/resource/Water
629,Variety Pack,Sparkling Ice,Sparkling Water,10.98,http://dbpedia.org/resource/Water
646,Werthers Original Hard Caramel Candy,Werther's Original,Better for you,2.58,http://dbpedia.org/resource/Better_(talk_show)
663,Dove Promises Mint Swirl Dark Chocolate Candy - 7.61 oz Bag,DOVE Chocolate,Better for you,4.98,http://dbpedia.org/resource/Better_(talk_show)
680,Tangerine Sparkling Water - 8pk/12 fl oz Cans,LaCroix,Sparkling Water,3.68,http://dbpedia.org/resource/Water
697,Naturally Flavored Sparkling Water,Sparkling Ice,Sparkling Water,1.08,http://dbpedia.org/resource/Water
714,Calorie Free Club Soda Cocktail Mixer,Great Value,Sparkling Water,2.98,http://dbpedia.org/resource/Water
731,Sugar Free Pecan Delights with Stevia,Russell Stover,Better for you,6.48,http://dbpedia.org/resource/Better_(talk_show)
748,Hu Cashew Butter + Pure Vanilla Bean Dark Chocolate,Hu Kitchen,Better for you,4.99,http://dbpedia.org/resource/Better_(talk_show)
765,Boost Watamu Strawberry Watermelon,Bai,Energy Drinks,2.18,http://dbpedia.org/resource/Energy
782,bubly drops Unsweetened Natural Flavor Essence Mango,SodaStream,Sparkling Water,5.88,http://dbpedia.org/resource/Water
799,Popcorners Kettle Corn Popped Corn Snacks,PopCorners,Healthy Snacks,3.68,http://dbpedia.org/resource/Snack
816,Sweet Balanced Breaks Cheddar Cheese,Sargento,Healthy Snacks,3.58,http://dbpedia.org/resource/Snack
833,zero xxx,vitaminwater,Sparkling Water,5.88,http://dbpedia.org/resource/Water
850,Unsweetened Blackberry Sparkling Water,Clear American,Sparkling Water,4.12,http://dbpedia.org/resource/Water
867,EXCELLENCE 85% Cocoa Dark Chocolate Candy Bar,Lindt,Better for you,2.94,http://dbpedia.org/resource/Better_(talk_show)
884,Lindor Dark Chocolate Candy Truffles,Lindt,Better for you,6.48,http://dbpedia.org/resource/Better_(talk_show)
901,Original Strawberry Ready-to-Eat Jello Cups Gelatin Snack Value Pack,Jell-O,Pudding & Gelatin,3.96,http://dbpedia.org/resource/Pudding
918,Cheesecake Crumble Original Cheesecake Desserts with Graham Crumble,Philadelphia,Pudding & Gelatin,3.58,http://dbpedia.org/resource/Pudding
935,,Wonderful Pistachios,Healthy Snacks,6.94,http://dbpedia.org/resource/Snack
952,Sandwich Peanut Butter Breakfast Biscuits,belVita,Healthy Snacks,3.88,http://dbpedia.org/resource/Snack
969,Scoops! Corn Snacks,Fritos,Healthy Snacks,4.98,http://dbpedia.org/resource/Snack
986,Chopped Walnuts,Great Value,Healthy Snacks,3.68,http://dbpedia.org/resource/Snack
1003,Sweet & Salty Caramel Corn Snacks,Bugles,Healthy Snacks,3.68,http://dbpedia.org/resource/Snack
1020,Walnuts Halves & Pieces,Great Value,Healthy Snacks,7.34,http://dbpedia.org/resource/Snack
1037,Indulgent Trail Mix,Great Value,Healthy Snacks,5.68,http://dbpedia.org/resource/Snack
1054,Fresh Guarantee Sunflower Kernels,Freshness Guaranteed,Healthy Snacks,3.48,http://dbpedia.org/resource/Snack
1071,Cherry Sugar Free Gelatin Dessert Mix,Jell-O,Pudding & Gelatin,1.47,http://dbpedia.org/resource/Pudding
1088,Pretzel Sticks,Great Value,Pretzels,1.98,http://dbpedia.org/resource/Pretzel
1105,Pretzels,Snyder's of Hanover,Pretzels,3.68,http://dbpedia.org/resource/Pretzel
1122,Snack Factory,Pretzel Crisps,Pretzels,3.24,http://dbpedia.org/resource/Pretzel
1139,Sweet & Salty Chewy Almond Granola Bars,Great Value,Granola Bars,2.98,http://dbpedia.org/resource/Granola
1156,Big Chewy Granola Bars,Quaker,Granola Bars,5.92,http://dbpedia.org/resource/Granola
1173,Whole Cloves,Great Value,Pretzels,1.94,http://dbpedia.org/resource/Pretzel
1190,CLIF BAR Energy Bars,Clif Bar,Granola Bars,6.97,http://dbpedia.org/resource/Granola
1207,KIND THINS Peanut Butter Dark Chocolate Bars,KIND Bars,Granola Bars,7.94,http://dbpedia.org/resource/Granola
1224,CLIF BAR Energy Bars,Clif Bar,Granola Bars,19.76,http://dbpedia.org/resource/Granola
1241,Cashew Cookie Date & Nut Bars,Great Value,Granola Bars,4.68,http://dbpedia.org/resource/Granola
1258,PB&J School Snack,Split,Granola Bars,1.97,http://dbpedia.org/resource/Granola
1275,Honey Roasted Mixed Nuts with Peanuts,Planters,Healthy Snacks,5.23,http://dbpedia.org/resource/Snack
1292,Bold Sriracha Flavored Almonds,Blue Diamond,Healthy Snacks,3.57,http://dbpedia.org/resource/Snack
1309,Ocean Spray Original Dried Cranberries,Craisins,Healthy Snacks,6.64,http://dbpedia.org/resource/Snack
1326,Naturally Pomegranate Vanilla Flavored Cashews Glazed Mix,Sahale Snacks,Healthy Snacks,3.88,http://dbpedia.org/resource/Snack
1343,Amazin Pitted Prunes,Sunsweet,Healthy Snacks,7.98,http://dbpedia.org/resource/Snack
1360,Deluxe Pistachio Nut Mix with Pistachios,Planters,Healthy Snacks,11.5,http://dbpedia.org/resource/Snack
1377,Smoked Flavored Whole Almonds,Great Value,Healthy Snacks,6.23,http://dbpedia.org/resource/Snack
1394,Organic Granola Bars,CLIF Kid Zbar,Granola Bars,9.24,http://dbpedia.org/resource/Granola
1411,MIN PBDC DCCC Mini 20CT,KIND,Granola Bars,14.36,http://dbpedia.org/resource/Granola
1428,Almonds,Blue Diamond,Healthy Snacks,3.48,http://dbpedia.org/resource/Snack
1445,,Wonderful Pistachios,Healthy Snacks,7.32,http://dbpedia.org/resource/Snack
1462,Halves & Pieces Walnuts Value Pack,Great Value,Baking Nuts & Seeds,14.73,http://dbpedia.org/resource/Baking
1479,Beef Choice Angus New York Strip Steak,Fresh Beef,Game Time Faves,18.16,http://dbpedia.org/resource/Game_Time
1496,Frozen Raw Large Peeled & Deveined,Great Value,Game Time Faves,13.26,http://dbpedia.org/resource/Game_Time
1513,Beef Choice Angus New York Strip Steak Family Pack,Fresh Beef,Game Time Faves,23.7,http://dbpedia.org/resource/Game_Time
1530,Villari Smoked Turkey Wings Cut,Villari Brothers,Game Time Faves,5.62,http://dbpedia.org/resource/Game_Time
1547,Classic Bread Machine Yeast,Fleischmann's,Yeast,6.22,http://dbpedia.org/resource/Yeast
1564,Almond Breeze Unsweetened Vanilla Almond Milk,Blue Diamond,Milk,4.57,http://dbpedia.org/resource/Milk
1581,Vanilla Almond Milk,Silk,Milk,3.27,http://dbpedia.org/resource/Milk
1598,Almonds Habanero BBQ Flavored Snack Nuts,Blue Diamond,Healthy Snacks,11.68,http://dbpedia.org/resource/Snack
1615,Whole Natural Almonds,Great Value,Healthy Snacks,4.98,http://dbpedia.org/resource/Snack
1632,Organic Whole DHA Omega-3 Milk,Horizon,Milk,5.47,http://dbpedia.org/resource/Milk
1649,Deans  1% Low Fat Chocolate Milk,TruMoo,Milk,5.98,http://dbpedia.org/resource/Milk
1666,Original Almond Milk,Great Value,Milk,2.36,http://dbpedia.org/resource/Milk
1683,Multi-Seed Cracker Ultimate Everything Gluten Free,Crunchmaster,Healthy Snacks,3.37,http://dbpedia.org/resource/Snack
1700,Chopped Walnuts,Great Value,Healthy Snacks,2.36,http://dbpedia.org/resource/Snack
1717,Organic 1% Low Fat Milk,Great Value,Milk,5.98,http://dbpedia.org/resource/Milk
1734,Almond Breeze Unsweetened Almond Coconut Original Almond Milk,Blue Diamond,Milk,2.97,http://dbpedia.org/resource/Milk
1751,Gluten Free Lite Coconut Milk,Thai Kitchen,Milk,2.58,http://dbpedia.org/resource/Milk
1768,Lite Coconut Milk,Thai Kitchen,Milk,4.88,http://dbpedia.org/resource/Milk
1785,Fat Free Milk,Sarah Farms,Milk,4.24,http://dbpedia.org/resource/Milk
1802,Goya Coconut Milk Cream of Coconut,GOYA,Milk,2.64,http://dbpedia.org/resource/Milk
1819,Grated Parmesan Cheese,Great Value,Cheese,2.68,http://dbpedia.org/resource/Cheese
1836,Shredded Colby & Monterey Jack Cheese,Great Value,Cheese,7.48,http://dbpedia.org/resource/Cheese
1853,Shriekers Sour Halloween Gummy Candy Fun Size Bag - 10.72 oz,Skittles,Halloween candy,2.98,http://dbpedia.org/resource/Halloween
1870,Skittles,Mixed,Halloween candy,8.58,http://dbpedia.org/resource/Halloween
1887,Hershey,Hershey's,Halloween candy,11.98,http://dbpedia.org/resource/Halloween
1904,Pepper Jack Cheese,Great Value,Cheese,2.0,http://dbpedia.org/resource/Cheese
1921,Deli Style Sliced Muenster Cheese,Great Value,Cheese,2.22,http://dbpedia.org/resource/Cheese
1938,Nestle  Evaporated Milk,Carnation,Canned & Powdered Milks,2.22,http://dbpedia.org/resource/Canning
1955,Nestle  Fat Free Evaporated Milk,Carnation,Canned & Powdered Milks,2.22,http://dbpedia.org/resource/Canning
1972,Dracula Delight Halloween Candy Variety Bag,SweeTarts,Halloween candy,9.98,http://dbpedia.org/resource/Halloween
1989,Skittles & Starburst Chewy Variety Pack Halloween Candy,Mixed,Halloween candy,14.48,http://dbpedia.org/resource/Halloween
2006,Gluten Free Shredded Extra Sharp Cheddar Cheese,Great Value,Cheese,3.98,http://dbpedia.org/resource/Cheese
2023,Shredded Mozzarella Cheese,Great Value,Cheese,3.98,http://dbpedia.org/resource/Cheese
2040,Fresh Mozzarella Cheese Pearls,BelGioioso,Specialty Cheeses & Meats,4.14,http://dbpedia.org/resource/Specialty_Records
2057,Smoked Gruyere,Smoky Park,Specialty Cheeses & Meats,4.98,http://dbpedia.org/resource/Specialty_Records
2074,Bar S Franks Made with Chicken & Pork,Bar-S,"Bacon, Hot Dogs, Sausage",1.0,http://dbpedia.org/resource/Bacon
2091,Savencia Cheese Spreadable Cheese,Alouette,Specialty Cheeses & Meats,4.17,http://dbpedia.org/resource/Specialty_Records
2108,Sliced Hard Salami,Margherita,Specialty Cheeses & Meats,7.46,http://dbpedia.org/resource/Specialty_Records
2125,Hard Salami and Mozzarella Panino 4.5 oz,Fiorucci,Specialty Cheeses & Meats,5.97,http://dbpedia.org/resource/Specialty_Records
2142,Traditional Crumbled Feta Cheese,Athenos,Specialty Cheeses & Meats,3.96,http://dbpedia.org/resource/Specialty_Records
2159,Black Creek 3 Year White Cheddar,GREAT MIDWEST,Specialty Cheeses & Meats,3.58,http://dbpedia.org/resource/Specialty_Records
2176,Genoa Salami Panino,Fiorucci,Specialty Cheeses & Meats,5.97,http://dbpedia.org/resource/Specialty_Records
2193,Uncured Pepperoni Chub 7 oz. Cured Pork,Del Duca,Specialty Cheeses & Meats,5.48,http://dbpedia.org/resource/Specialty_Records
2210,Cheese Crumbled Fat Free Feta Cheese,President Cheese,Specialty Cheeses & Meats,4.47,http://dbpedia.org/resource/Specialty_Records
2227,Gluten Free Shredded Mild Cheddar Cheese,Great Value,Cheese,2.22,http://dbpedia.org/resource/Cheese
2244,Light String Cheese,Great Value,Cheese,2.84,http://dbpedia.org/resource/Cheese
2261,Sticks Mild Cheddar Cheese,Great Value,Cheese,3.12,http://dbpedia.org/resource/Cheese
2278,Unsweetened Lemonade Naturally Flavored Powdered Soft Drink Mix,Kool-Aid,Drink Mixes,0.3,http://dbpedia.org/resource/DJ_mix
2295,Sugar Sweetened Tropical Punch Artificially Flavored Powdered Drink Mix,Kool-Aid,Drink Mixes,3.18,http://dbpedia.org/resource/DJ_mix
2312,Fruit Punch Sugar Free Drink Mix Caffeine Free,Crystal Light,Drink Mixes,2.58,http://dbpedia.org/resource/DJ_mix
2329,Mild Cheddar Cheese,Great Value,Cheese,3.98,http://dbpedia.org/resource/Cheese
2346,Liquid Grape Artificially Flavored Soft Drink Mix,Kool-Aid,Drink Mixes,2.98,http://dbpedia.org/resource/DJ_mix
2363,Spicy Jalapeno Cream Cheese Spread,Philadelphia,Cheese,3.98,http://dbpedia.org/resource/Cheese
2380,Low Fat Cottage Cheese,Daisy,Cheese,3.78,http://dbpedia.org/resource/Cheese
2397,Balanced Breaks Ritz Cheese & Crackers Snacks,Sargento,Cheese,3.58,http://dbpedia.org/resource/Cheese
2414,Prices Original Pimiento Cheese Spread 12oz,Price's,Cheese,3.98,http://dbpedia.org/resource/Cheese
2431,Rich Chocolate Drink Mix,Ovaltine,Drink Mixes,5.77,http://dbpedia.org/resource/DJ_mix
2448,4C Lemon Iced Tea Mix,4C Foods,Drink Mixes,5.56,http://dbpedia.org/resource/DJ_mix
2465,Cheddar Fat Free Shredded Cheese,Kraft,Cheese,4.98,http://dbpedia.org/resource/Cheese
2482,Neufchtel Cheese,Great Value,Cheese,1.68,http://dbpedia.org/resource/Cheese
2499,Deli Deluxe American Cheese Slices,Kraft,Cheese,5.98,http://dbpedia.org/resource/Cheese
2516,V&V Supremo Chihuahua Brand Authentic Mexican Style Melting Quesadilla Natural Shredded Cheese,Supremo!,Cheese,13.18,http://dbpedia.org/resource/Cheese
2533,Singles American Cheese Slices with 2% Milk,Kraft,Cheese,3.84,http://dbpedia.org/resource/Cheese
2550,Cooked Red Sausage,Carolina Pride,"Bacon, Hot Dogs, Sausage",4.62,http://dbpedia.org/resource/Bacon
2567,Beef Polska Kielbasa Smoked Sausage,Hillshire Farm,"Bacon, Hot Dogs, Sausage",3.98,http://dbpedia.org/resource/Bacon
2584,All Natural Turkey Breakfast Sausage Patties,Butterball,"Bacon, Hot Dogs, Sausage",4.12,http://dbpedia.org/resource/Bacon
2601,Bagel Dogs with Oscar Mayer Frozen Snacks,Bagel Bites,"Bacon, Hot Dogs, Sausage",5.67,http://dbpedia.org/resource/Bacon
2618,Premio Hot Italian Pork Sausage,Premio Foods,"Bacon, Hot Dogs, Sausage",4.78,http://dbpedia.org/resource/Bacon
2635,Beer 'n Bratwurst,Great Value,"Bacon, Hot Dogs, Sausage",5.28,http://dbpedia.org/resource/Bacon
2652,Cajun Style Andouille Smoked Pork Sausage Links,Aidells,"Bacon, Hot Dogs, Sausage",5.92,http://dbpedia.org/resource/Bacon
2669,Simple Scrambles Meat Lovers Quick Breakfast Cup,Jimmy Dean,"Bacon, Hot Dogs, Sausage",3.18,http://dbpedia.org/resource/Bacon
2686,Hot Whole Hog Country Sausage,Gunnoe's,"Bacon, Hot Dogs, Sausage",3.98,http://dbpedia.org/resource/Bacon
2703,Energy Black Cherry Sugar Free Water Enhancer with 2X More,MiO,Drink Mixes,5.94,http://dbpedia.org/resource/DJ_mix
2720,True Lemon Original Lemonade Powdered Drink Mix - 10 Sticks,True Citrus,Drink Mixes,2.24,http://dbpedia.org/resource/DJ_mix
2737,Fruit & Veggie Blenders Acai Energizing Power,Campoverde,Drink Mixes,11.54,http://dbpedia.org/resource/DJ_mix
2754,Extra Large White Eggs,Great Value,Eggs,2.71,http://dbpedia.org/resource/Egg
2771,Extra Sharp Cheddar Cheese,Great Value,Cheese,7.48,http://dbpedia.org/resource/Cheese
2788,Chive & Onion Cream Cheese Spread,Philadelphia,Cheese,7.24,http://dbpedia.org/resource/Cheese
2805,Grass-Fed Dubliner Irish Cheese,Kerrygold,Cheese,5.28,http://dbpedia.org/resource/Cheese
2822,Berry Jug,Minute Maid,Orange Juice & Chilled,3.52,http://dbpedia.org/resource/Orange_S.A.
2839,Orange Juice,Minute Maid,Orange Juice & Chilled,3.18,http://dbpedia.org/resource/Orange_S.A.
2856,Country Style 100% Orange Juice,Great Value,Orange Juice & Chilled,2.68,http://dbpedia.org/resource/Orange_S.A.
2873,Creamery Sliced Provolone Natural Cheese,Sargento,Cheese,3.38,http://dbpedia.org/resource/Cheese
2890,Orange Peach Juice Drink,SUNNYD,Orange Juice & Chilled,2.98,http://dbpedia.org/resource/Orange_S.A.
2907,Sharp Cheddar Finely Shredded Cheese with 2% Milk,Kraft,Cheese,2.98,http://dbpedia.org/resource/Cheese
2924,Dairy Free Cutting Board Cheddar & Mozza Style Blend Vegan Cheese Shreds - 7.1 oz,Daiya,Cheese,4.24,http://dbpedia.org/resource/Cheese
2941,Sweet Italian Style Chicken Sausage 11 oz,Al Fresco,"Bacon, Hot Dogs, Sausage",5.42,http://dbpedia.org/resource/Bacon
2958,Plant Based Frozen Spicy Sausage Chubs,Impossible Foods,"Bacon, Hot Dogs, Sausage",4.28,http://dbpedia.org/resource/Bacon
2975,Simply Orange Pulp Free Orange Juice,simply...,Orange Juice & Chilled,1.68,http://dbpedia.org/resource/Orange_S.A.
2992,Aloe Vera Drink with Pineapple Flavor 16.9 fl oz.,GOYA,Orange Juice & Chilled,1.48,http://dbpedia.org/resource/Orange_S.A.
3009,Juice,Naked,Orange Juice & Chilled,3.18,http://dbpedia.org/resource/Orange_S.A.
3026,Impossible Sausage Patties Made from Plants,Impossible Foods,"Bacon, Hot Dogs, Sausage",5.58,http://dbpedia.org/resource/Bacon
3043,Parmesan Grated Cheese,Kraft,Cheese,2.56,http://dbpedia.org/resource/Cheese
3060,Genoa Salami,Dietz & Watson,"Bacon, Hot Dogs, Sausage",4.78,http://dbpedia.org/resource/Bacon
3077,Juice Protein Smoothie,Naked,Orange Juice & Chilled,3.48,http://dbpedia.org/resource/Orange_S.A.
3094,Original Aloe Vera Drink,Fruit of the Earth,Orange Juice & Chilled,3.92,http://dbpedia.org/resource/Orange_S.A.
3111,Chia Seed Mango Juice,Faraon,Orange Juice & Chilled,1.48,http://dbpedia.org/resource/Orange_S.A.
3128,Hazelnut Coffee Creamer,Great Value,Cream & Creamers,2.68,http://dbpedia.org/resource/Cream
3145,Nestle Coffee mate Peppermint Mocha Liquid Coffee Creamer 32 fl oz,Coffeemate,Cream & Creamers,3.98,http://dbpedia.org/resource/Cream
3162,Coffee mate Zero Sugar Italian Sweet Creme Liquid Coffee Creamer 32 fl oz,Coffeemate,Cream & Creamers,3.98,http://dbpedia.org/resource/Cream
3179,Cherry Flavored Sparkling Water,bubly,Beverage Deals,3.28,http://dbpedia.org/resource/Drink
3196,Peppermint Starlight Mints Hard Candy,Great Value,Hard candy & lollipops,0.98,http://dbpedia.org/resource/Hard_candy
3213,Locochas Sandia 5.1 Oz (24-Pack) Candy Bag,Beny,Hard candy & lollipops,0.99,http://dbpedia.org/resource/Hard_candy
3230,Muecas Lollipop,Lucas,Hard candy & lollipops,3.48,http://dbpedia.org/resource/Hard_candy
3247,Nestle Coffee mate The Original Liquid Coffee Creamer 32 fl oz,Coffeemate,Cream & Creamers,3.98,http://dbpedia.org/resource/Cream
3264,Goya Fruit Nectar,GOYA,Beverage Deals,1.98,http://dbpedia.org/resource/Drink
3281,Sweet Cream Coffee Creamer,Great Value,Cream & Creamers,3.98,http://dbpedia.org/resource/Cream
3298,Cinnamon French Toast Non-Dairy Coffee Creamer,Great Value,Cream & Creamers,2.98,http://dbpedia.org/resource/Cream
3315,REESE'S,Reese's,Hard candy & lollipops,11.98,http://dbpedia.org/resource/Hard_candy
3332,Original Giant Smoked Snack Sticks,Slim Jim,Meat Sticks,1.52,http://dbpedia.org/resource/Meat
3349,Zero Sugar Whipped Cream Topping,Cool Whip,Cream & Creamers,1.98,http://dbpedia.org/resource/Cream
3366,Nestle Coffee mate Sugar Free Hazelnut Powder Coffee Creamer 10.2 oz,Coffeemate,Cream & Creamers,4.92,http://dbpedia.org/resource/Cream
3383,Enjoy Big Value Li Hing Sour Watermelon,ENJOY,Fruit Snacks,5.28,http://dbpedia.org/resource/Fruit_snack
3400,Animals Fruit Snacks,Mott's,Fruit Snacks,9.18,http://dbpedia.org/resource/Fruit_snack
3417,,Reese's,Chocolate,2.36,http://dbpedia.org/resource/Chocolate
3434,HERSHEY'S,Hershey's,Chocolate,6.74,http://dbpedia.org/resource/Chocolate
3451,Tic Tac Toe Fruit Snacks,Funables,Fruit Snacks,6.32,http://dbpedia.org/resource/Fruit_snack
3468,Dr.q  Lychee Konjac Fruit Jelly 9.35oz,Dr. Q,Fruit Snacks,2.88,http://dbpedia.org/resource/Fruit_snack
3485,Gluten Free Cauliflower Crust Margherita Pizza,Marketside,Fresh Pizza,8.5,http://dbpedia.org/resource/DJ_Fresh
3502,Organic Agave Nectar,Agave In The Raw,Sugars & Sweeteners,5.12,http://dbpedia.org/resource/Sugar
3519,Cinnamon Sugar,Great Value,Sugars & Sweeteners,1.94,http://dbpedia.org/resource/Sugar
3536,GHIRARDELLI Premium Caramel Sauce,Ghirardelli,Sugars & Sweeteners,4.96,http://dbpedia.org/resource/Sugar
3553,Grenadine,Rose's,Sugars & Sweeteners,4.28,http://dbpedia.org/resource/Sugar
3570,Original Premium Sausage Links,Great Value,"Bacon, Hot Dogs, Sausage",2.76,http://dbpedia.org/resource/Bacon
3587,Beef Smoked Sausage,Hillshire Farm,"Bacon, Hot Dogs, Sausage",3.98,http://dbpedia.org/resource/Bacon
3604,Cinnamon French Toast & Sausage on a Stick,Jimmy Dean,"Bacon, Hot Dogs, Sausage",9.64,http://dbpedia.org/resource/Bacon
3621,Fully Cooked Original Pork Sausage Patties,Jimmy Dean,"Bacon, Hot Dogs, Sausage",4.82,http://dbpedia.org/resource/Bacon
3638,Confectioners,Swerve,Sugars & Sweeteners,7.58,http://dbpedia.org/resource/Sugar
3655,Sausage,Beverly,"Bacon, Hot Dogs, Sausage",2.64,http://dbpedia.org/resource/Bacon
3672,Stevia In The Raw Bakers Bag | Plant Based Zero Calorie Sweetener| Sugar-free Sugar Substitute for Baking| Suitable For Diabetics | Vegan,STEVIA IN THE RAW,Sugars & Sweeteners,7.12,http://dbpedia.org/resource/Sugar
3689,Famous Bun Length Skinless Beef Franks,Nathan's,"Bacon, Hot Dogs, Sausage",4.86,http://dbpedia.org/resource/Bacon
3706,,100 Grand,Chocolate,3.48,http://dbpedia.org/resource/Chocolate
3723,Turkey Pepperoni Slices,Great Value,"Bacon, Hot Dogs, Sausage",2.58,http://dbpedia.org/resource/Bacon
3740,HORMEL BLACK LABEL Bacon,Hormel,"Bacon, Hot Dogs, Sausage",6.98,http://dbpedia.org/resource/Bacon
3757,Turkey Breakfast Sausage Links,Butterball,"Bacon, Hot Dogs, Sausage",4.12,http://dbpedia.org/resource/Bacon
3774,Manuka Honey,Wedderspoon,Sugars & Sweeteners,21.98,http://dbpedia.org/resource/Sugar
3791,Honey: 100% Pure,Nature Nate's,Sugars & Sweeteners,5.77,http://dbpedia.org/resource/Sugar
3808,,ROLO,Chocolate,6.74,http://dbpedia.org/resource/Chocolate
3825,REESE'S,Reese's,Chocolate,5.88,http://dbpedia.org/resource/Chocolate
3842,Sugar Free Assorted Caramels with Stevia,Russell Stover,Chocolate,9.68,http://dbpedia.org/resource/Chocolate
3859,Premio Sweet Italian Pork Sausage,Premio Foods,"Bacon, Hot Dogs, Sausage",4.78,http://dbpedia.org/resource/Bacon
3876,Hot Smoked Sausage,Hillshire Farm,"Bacon, Hot Dogs, Sausage",3.98,http://dbpedia.org/resource/Bacon
3893,HERSHEY'S,Hershey's,Chocolate,11.98,http://dbpedia.org/resource/Chocolate
3910,M&M's Peanut Milk Chocolate Candy Theater Box - 3.1 oz Box,M&M'S,Chocolate,1.24,http://dbpedia.org/resource/Chocolate
3927,Hershey's,HERSHEY'S KISSES,Chocolate,4.34,http://dbpedia.org/resource/Chocolate
3944,Shells and Cheese with Bacon,Velveeta,"Bacon, Hot Dogs, Sausage",2.52,http://dbpedia.org/resource/Bacon
3961,Natural Hickory Smoked No Sugar Uncured Bacon,Applegate,"Bacon, Hot Dogs, Sausage",6.24,http://dbpedia.org/resource/Bacon
3978,A New Kind of Soda,OLIPOP,New Arrivals,2.38,
3995,Big Game Energy Drink,Bucked Up,New Arrivals,2.48,
4012,Guava Cold Pressed Juice Blend,Caribe,New Arrivals,4.99,
