index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
267631,Chocolate Frosted Mini Donuts,Freshness Guaranteed,Sweet Treats,3.24,http://dbpedia.org/resource/The_Sweet
267648,Lemon Crullers 12 oz,Krispy Kreme,Sweet Treats,4.14,http://dbpedia.org/resource/The_Sweet
267665,French Steak Rolls,Freshness Guaranteed,Fresh Food,2.42,http://dbpedia.org/resource/DJ_Fresh
267682,Seeded Rye Sandwich Loaf,Freshness Guaranteed,Fresh Food,3.62,http://dbpedia.org/resource/DJ_Fresh
267699,Parmesan Garlic Breadsticks,Freshness Guaranteed,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
267716,Vanilla Glazed Ring Donuts,Freshness Guaranteed,Sweet Treats,1.46,http://dbpedia.org/resource/The_Sweet
267733,Gluten Free Dairy Free Nut Free Soy Free Kosher Glazed Donuts,Katz,Sweet Treats,5.48,http://dbpedia.org/resource/The_Sweet
267750,Assorted Ring Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.76,http://dbpedia.org/resource/Doughnut
267767,Chocolate Iced Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
267784,HOSTESS Powdered DONETTES Bag,Hostess,Muffins & Pastries,2.48,http://dbpedia.org/resource/Muffin
267801,HOSTESS SNOBALLS Single Serve,Hostess,Muffins & Pastries,1.58,http://dbpedia.org/resource/Muffin
267818,Cinnamon Mini Donuts 10 oz. Bag,Tastykake,Muffins & Pastries,2.16,http://dbpedia.org/resource/Muffin
267835,Everything French Bread,Freshness Guaranteed,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
267852,Marbled Chocolate Brioche Bread,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
267869,Sliced Cinnamon Brioche Bread,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
267886,Savory Garlic Knots,Marketside,Fresh Food,2.98,http://dbpedia.org/resource/DJ_Fresh
267903,12 Grain and Seed Sandwich Loaf,Freshness Guaranteed,Fresh Food,3.62,http://dbpedia.org/resource/DJ_Fresh
267920,Bavarian Filled Bismarks,Freshness Guaranteed,Sweet Treats,3.76,http://dbpedia.org/resource/The_Sweet
267937,Powdered Sugar Mini Donuts,Freshness Guaranteed,Sweet Treats,3.24,http://dbpedia.org/resource/The_Sweet
267954,Donuts with Chocolate Icing,Freshness Guaranteed,Sweet Treats,4.92,http://dbpedia.org/resource/The_Sweet
267971,Wheat Sub Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
267988,Whole Grain Brioche Buns,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
268005,Iced Vanilla & Chocolate Mini Donuts,Freshness Guaranteed,Sweet Treats,4.48,http://dbpedia.org/resource/The_Sweet
268022,Freshness Guaranteed Assorted Ring Donuts,The Bakery,Muffins & Pastries,4.92,http://dbpedia.org/resource/Muffin
268039,Glazed Donuts,Freshness Guaranteed,Muffins & Pastries,3.76,http://dbpedia.org/resource/Muffin
268056,Lemon Crullers 12 oz,Krispy Kreme,Muffins & Pastries,4.14,http://dbpedia.org/resource/Muffin
268073,Glazed Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",4.92,http://dbpedia.org/resource/Doughnut
268090,Chocolate Iced Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
268107,HOSTESS Double Chocolate Frosted DONETTES Bag,Hostess,Muffins & Pastries,2.48,http://dbpedia.org/resource/Muffin
268124,Iced Vanilla & Chocolate Mini Donuts,Freshness Guaranteed,Muffins & Pastries,4.48,http://dbpedia.org/resource/Muffin
268141,Freshness Guaranteed Everything Italian Loaf,Marketside,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
268158,Pumpernickel Rye Loaf,Freshness Guaranteed,Fresh Food,3.62,http://dbpedia.org/resource/DJ_Fresh
268175,Wheat Bolillos,Freshness Guaranteed,Fresh Food,3.76,http://dbpedia.org/resource/DJ_Fresh
268192,Donut Variety,Great Value,Sweet Treats,3.5,http://dbpedia.org/resource/The_Sweet
268209,Original Glazed Crullers 12 oz,Krispy Kreme,Sweet Treats,4.14,http://dbpedia.org/resource/The_Sweet
268226,Apple Fritters,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.76,http://dbpedia.org/resource/Doughnut
268243,Chocolate Frosted Mini Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.24,http://dbpedia.org/resource/Doughnut
268260,Assorted Donut Holes,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.24,http://dbpedia.org/resource/Doughnut
268277,Mini Crullers Blueberry,Krispy Kreme,Sweet Treats,4.14,http://dbpedia.org/resource/The_Sweet
268294,Grab 'n Go Favorites Cinnamon Sugar Donuts,Mrs Baird's,Sweet Treats,2.58,http://dbpedia.org/resource/The_Sweet
268311,Apple Fritters,Freshness Guaranteed,Muffins & Pastries,3.76,http://dbpedia.org/resource/Muffin
268328,Glazed Donuts,Freshness Guaranteed,Muffins & Pastries,3.76,http://dbpedia.org/resource/Muffin
268345,HOSTESS Crunch DONETTES Donuts Single Serve,Hostess,Muffins & Pastries,1.28,http://dbpedia.org/resource/Muffin
268362,Brioche Rolls,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
268379,Sesame French Bread,Freshness Guaranteed,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
268396,Parmesan Garlic Breadsticks,Freshness Guaranteed,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
268413,HOSTESS Powdered Sugar DONETTES Single Serve,Hostess,Muffins & Pastries,1.28,http://dbpedia.org/resource/Muffin
268430,Plain Cake Donuts,Freshness Guaranteed,Muffins & Pastries,3.76,http://dbpedia.org/resource/Muffin
268447,Sour Cream Donut Holes,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.24,http://dbpedia.org/resource/Doughnut
268464,Sliced Cinnamon Brioche Bread,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
268481,French Steak Rolls,Freshness Guaranteed,Fresh Food,2.42,http://dbpedia.org/resource/DJ_Fresh
268498,Freshness Guaranteed Garlic Bread,The Bakery,Fresh Food,2.48,http://dbpedia.org/resource/DJ_Fresh
268515,Mini French Baguette,Freshness Guaranteed,Fresh Food,0.98,http://dbpedia.org/resource/DJ_Fresh
268532,Baker's Dozen Sugar Topped Donuts,Freshness Guaranteed,Muffins & Pastries,4.92,http://dbpedia.org/resource/Muffin
268549,Assorted Donut Holes,Freshness Guaranteed,Muffins & Pastries,3.24,http://dbpedia.org/resource/Muffin
268566,Parmesan Garlic Breadsticks,Freshness Guaranteed,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
268583,Wheat Bolillos,Freshness Guaranteed,Fresh Food,1.98,http://dbpedia.org/resource/DJ_Fresh
268600,Iced Vanilla & Chocolate Mini Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",4.48,http://dbpedia.org/resource/Doughnut
268617,Bavarian Creme and Chocolate Dual Filled Donuts,Freshness Guaranteed,Muffins & Pastries,1.46,http://dbpedia.org/resource/Muffin
268634,Fresh Raspberries,Produce Unbranded,Fresh Food,5.38,http://dbpedia.org/resource/DJ_Fresh
268651,French Baguette Bread,Marketside,Fresh Food,1.97,http://dbpedia.org/resource/DJ_Fresh
